Country Name,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS],"Domestic private health expenditure per capita, PPP (current international $) [SH.XPD.PVTD.PP.CD]","Domestic general government health expenditure per capita, PPP (current international $) [SH.XPD.GHED.PP.CD]",Renewable internal freshwater resources per capita (cubic meters) [ER.H2O.INTR.PC],"Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]",Government Effectiveness: Estimate [GE.EST],Income share held by highest 10% [SI.DST.10TH.10],Prevalence of current tobacco use (% of adults) [SH.PRV.SMOK],"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]",Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Population density (people per sq. km of land area) [EN.POP.DNST]
Channel Islands,81.39,,100,,,,,,,,,,,,,855.6060606
Chile,80.326,4.827620075,100,9.33272266,32.80002975,1157.964338,1201.240986,46482.34971,0.6,7.27,0.891052961,,29.9,6.74572,0.007929707,25.60681316
China,77.968,7.645435786,100,5.3502779,35.23001862,389.9766232,495.9194235,1998.160178,,5.15,0.563922524,29.5,25.7,5.72525,-0.256689161,149.9481797
Colombia,76.752,1.577820141,99.44425964,8.1165638,14.12572575,368.4091944,907.5612198,42739.80608,0.5,10.28,0.060806107,40.3,8.8,4.91572,-0.949501574,45.23425507
Comoros,64.068,0.41239668,83.32794952,5.18044472,61.82796478,117.4442694,28.43869277,1517.093855,0.1,,-1.721721411,,20.8,0.25281,-0.154699191,425.0327781
"Congo, Dem. Rep.",60.276,0.03371488,19.1,3.54229975,38.49700546,17.74861137,6.189964959,10010.35627,0.8,,-1.618209124,,13,2.11786,-1.593898892,39.65809753
"Congo, Rep.",62.747,1.257662142,47.7288208,2.56553078,42.17203903,48.71355613,43.45233888,39851.12911,3.7,,-1.390875697,,14.3,6.39562,-0.896963596,16.31254173
Costa Rica,79.427,1.564824452,99.71,7.2212491,22.32456398,445.5777447,1176.8667,22224.26764,0.4,10.81,0.372309685,36.7,9.1,3.45249,0.45229286,99.57955347
Cote d'Ivoire,59.319,0.414528305,68.56665039,3.28960407,37.26046365,99.83512365,53.09374996,2938.707338,2.2,2.4,-0.528571486,,9.7,2.80459,-1.026045561,82.22500314
Croatia,78.42439024,4.064519478,100,6.81108999,11.4647665,382.7592604,1691.831149,9273.71556,0.1,6.62,0.489911973,22.2,36.7,8.54359,0.694699943,72.64050104
